Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
2485,91.19,6435,2,Male,Male-Dark,Purple Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
2486,86.02,6944,3,Female,Female-Dark,Frumpy Hair,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2487,76.7,8187,1,Female,Female-Dark,Knitted Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2488,116.25,3702,2,Female,Female-Mid,Clown Hair Green,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2489,80.38,7604,3,Male,Male-Dark,Cap Forward,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
2490,165.37,1059,4,Male,Male-Dark,Vampire Hair,Small Shades,Shadow Beard,NONE,NONE,Pipe,NONE,NONE,NONE
2491,902.97,40,1,Ape,Ape,Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2492,136.82,2098,3,Male,Male-Mid,Do-rag,Horned Rim Glasses,Big Beard,NONE,NONE,NONE,NONE,NONE,NONE
2493,61.01,9625,2,Male,Male-Light,Mohawk,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2494,116.78,3645,3,Male,Male-Light,Mohawk Dark,3D Glasses,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2495,175.59,852,4,Male,Male-Albino,Clown Hair Green,NONE,Mustache,NONE,NONE,Vape,NONE,NONE,Earring
2496,143.6,1717,4,Female,Female-Mid,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
2497,135.76,2155,4,Male,Male-Mid,Wild Hair,Horned Rim Glasses,Handlebars,NONE,NONE,Vape,NONE,NONE,NONE
2498,103,5099,4,Male,Male-Dark,Do-rag,Classic Shades,Shadow Beard,NONE,NONE,Cigarette,NONE,NONE,NONE
2499,89.89,6583,3,Male,Male-Albino,Wild Hair,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
2500,94.57,6007,3,Male,Male-Light,Mohawk,Regular Shades,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2501,103.85,5004,3,Male,Male-Mid,Police Cap,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,Earring
2502,150.02,1455,3,Female,Female-Mid,Pigtails,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2503,81,7529,3,Male,Male-Dark,Wild Hair,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
2504,65.65,9158,3,Male,Male-Mid,Do-rag,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
2505,105.58,4813,4,Male,Male-Dark,Crazy Hair,Eye Patch,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
2506,78.89,7795,2,Male,Male-Light,Wild Hair,NONE,NONE,NONE,NONE,Vape,NONE,NONE,NONE
2507,71.42,8752,3,Female,Female-Light,Mohawk,NONE,NONE,NONE,NONE,Cigarette,Black Lipstick,NONE,NONE
2508,108.79,4407,1,Male,Male-Albino,Police Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2509,144.85,1659,2,Male,Male-Mid,Top Hat,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
2510,120.27,3367,3,Male,Male-Light,Frumpy Hair,Eye Patch,NONE,NONE,Gold Chain,NONE,NONE,NONE,NONE
2511,46.8,9980,2,Male,Male-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2512,82.77,7337,3,Male,Male-Mid,Cap,Regular Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2513,84.79,7082,2,Male,Male-Albino,Do-rag,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2514,67.24,9068,2,Female,Female-Albino,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2515,188.19,692,3,Female,Female-Mid,Orange Side,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
2516,61.32,9593,2,Female,Female-Dark,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
2517,95.82,5852,2,Female,Female-Mid,Red Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2518,112.06,4026,4,Male,Male-Dark,Mohawk,Horned Rim Glasses,Mustache,Mole,NONE,NONE,NONE,NONE,NONE
2519,88.12,6734,2,Male,Male-Dark,Police Cap,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2520,92.4,6278,3,Male,Male-Light,Bandana,Horned Rim Glasses,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2521,64.44,9246,3,Female,Female-Mid,Mohawk Dark,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
2522,46.8,9981,2,Male,Male-Dark,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2523,124.2,2981,3,Female,Female-Light,Straight Hair Blonde,Big Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2524,76.31,8261,3,Male,Male-Mid,Stringy Hair,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2525,112.83,3961,4,Female,Female-Dark,Tassle Hat,NONE,NONE,NONE,NONE,Cigarette,Black Lipstick,NONE,Earring
2526,106.85,4647,1,Female,Female-Mid,NONE,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2527,162.98,1108,3,Female,Female-Dark,Pink With Hat,Clown Eyes Blue,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
2528,80.31,7613,3,Male,Male-Mid,Mohawk Dark,Eye Patch,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2529,92.67,6243,3,Male,Male-Mid,Mohawk,Regular Shades,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2530,66.95,9081,2,Female,Female-Albino,Knitted Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2531,88.13,6732,3,Female,Female-Dark,Stringy Hair,VR,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2532,128.57,2610,3,Female,Female-Light,Blonde Short,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2533,140.01,1915,4,Female,Female-Mid,Straight Hair,Big Shades,NONE,Mole,NONE,NONE,Purple Lipstick,NONE,NONE
2534,88.15,6730,2,Male,Male-Dark,Shaved Head,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
2535,73.92,8539,3,Male,Male-Light,Shaved Head,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
2536,110.96,4128,2,Male,Male-Dark,Cowboy Hat,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2537,77.42,8058,3,Male,Male-Light,Cap Forward,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2538,105.37,4844,3,Male,Male-Dark,Shaved Head,Horned Rim Glasses,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2539,129.44,2538,3,Male,Male-Light,Cap Forward,NONE,Big Beard,NONE,NONE,NONE,NONE,NONE,Earring
2540,225.32,414,2,Female,Female-Light,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
2541,107.34,4588,2,Male,Male-Mid,Mohawk Dark,NONE,NONE,NONE,Silver Chain,NONE,NONE,NONE,NONE
2542,90.37,6525,3,Male,Male-Light,Do-rag,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
2543,61.87,9537,2,Female,Female-Light,Messy Hair,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
2544,97.88,5600,2,Female,Female-Light,Tassle Hat,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2545,71.41,8754,2,Male,Male-Albino,Mohawk,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2546,110.2,4223,3,Female,Female-Dark,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
2547,44.49,10000,2,Male,Male-Light,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2548,115.36,3774,3,Male,Male-Mid,Cap Forward,Nerd Glasses,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2549,227.47,391,3,Female,Female-Light,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
2550,91.94,6339,2,Male,Male-Mid,Hoodie,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
2551,162.57,1118,3,Female,Female-Light,Red Mohawk,NONE,NONE,NONE,NONE,Medical Mask,Purple Lipstick,NONE,NONE
2552,87.67,6778,3,Female,Female-Light,Headband,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2553,76.42,8241,2,Male,Male-Mid,Knitted Cap,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2554,71.39,8755,2,Female,Female-Light,Frumpy Hair,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2555,75.21,8405,2,Female,Female-Light,Wild Hair,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2556,73.3,8590,3,Male,Male-Dark,Do-rag,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2557,100.92,5308,3,Male,Male-Dark,Do-rag,NONE,Goat,Mole,NONE,NONE,NONE,NONE,NONE
2558,73.39,8581,2,Female,Female-Light,Headband,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2559,68.77,8973,3,Male,Male-Mid,Messy Hair,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2560,335.47,77,4,Zombie,Zombie,Headband,VR,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
2561,63.5,9335,2,Male,Male-Dark,Cap Forward,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2562,109.73,4278,4,Female,Female-Mid,Knitted Cap,Green Eye Shadow,NONE,NONE,NONE,Cigarette,Hot Lipstick,NONE,NONE
2563,51.03,9950,2,Female,Female-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2564,76.85,8160,2,Male,Male-Mid,Bandana,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2565,77.38,8066,3,Male,Male-Dark,Mohawk Thin,Regular Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2566,295.65,151,2,Zombie,Zombie,Messy Hair,NONE,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
2567,116.51,3672,3,Male,Male-Light,Fedora,NONE,Mustache,NONE,NONE,Cigarette,NONE,NONE,NONE
2568,57.76,9839,2,Male,Male-Light,Wild Hair,NONE,NONE,Mole,NONE,NONE,NONE,NONE,NONE
2569,90.33,6531,3,Male,Male-Mid,Shaved Head,Eye Patch,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2570,114.14,3870,3,Male,Male-Mid,Peak Spike,VR,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2571,116.86,3635,3,Male,Male-Mid,Cap Forward,Regular Shades,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2572,167.26,1015,3,Male,Male-Albino,Vampire Hair,3D Glasses,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2573,127.56,2683,1,Male,Male-Albino,Vampire Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2574,116.51,3673,3,Male,Male-Dark,Purple Hair,NONE,Goat,NONE,NONE,NONE,NONE,NONE,Earring
2575,66.06,9132,2,Male,Male-Mid,Stringy Hair,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2576,116.32,3694,1,Male,Male-Albino,NONE,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2577,90.65,6504,3,Male,Male-Dark,Bandana,Eye Mask,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
2578,96.23,5796,1,Female,Female-Dark,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2579,75.26,8391,2,Male,Male-Light,Cap Forward,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2580,87.16,6816,2,Male,Male-Mid,Peak Spike,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2581,152.49,1383,3,Male,Male-Albino,Cowboy Hat,Regular Shades,Chinstrap,NONE,NONE,NONE,NONE,NONE,NONE
2582,87.61,6782,3,Male,Male-Albino,Bandana,NONE,Goat,NONE,NONE,NONE,NONE,NONE,Earring
2583,72.7,8649,2,Female,Female-Mid,Crazy Hair,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2584,78.72,7824,2,Male,Male-Light,Mohawk Thin,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2585,121.15,3289,3,Male,Male-Light,Headband,NONE,Big Beard,NONE,NONE,Cigarette,NONE,NONE,NONE
2586,99.12,5476,3,Male,Male-Light,Mohawk,Eye Patch,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
2587,84.73,7094,3,Male,Male-Mid,Headband,NONE,NONE,NONE,NONE,NONE,Frown,NONE,Earring
2588,206.54,561,4,Female,Female-Albino,Tassle Hat,Clown Eyes Blue,NONE,Spots,NONE,NONE,NONE,NONE,Earring
2589,165.77,1049,2,Female,Female-Mid,Dark Hair,NONE,NONE,Rosy Cheeks,NONE,NONE,NONE,NONE,NONE
2590,128.53,2615,4,Male,Male-Dark,Fedora,Nerd Glasses,Muttonchops,NONE,NONE,NONE,NONE,NONE,Earring
2591,125.85,2815,2,Female,Female-Light,Straight Hair,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2592,90.06,6563,3,Male,Male-Light,Cap Forward,VR,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2593,92.68,6241,3,Male,Male-Mid,Bandana,Eye Patch,Goat,NONE,NONE,NONE,NONE,NONE,NONE
2594,71.87,8707,2,Female,Female-Dark,Frumpy Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2595,81.76,7456,4,Male,Male-Dark,Stringy Hair,Classic Shades,NONE,Mole,NONE,NONE,NONE,NONE,Earring
2596,128.54,2614,1,Female,Female-Mid,NONE,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2597,77.25,8082,2,Male,Male-Dark,Mohawk,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2598,62.94,9408,2,Female,Female-Mid,Messy Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2599,81.51,7485,3,Male,Male-Light,Mohawk Dark,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
2600,70.39,8858,2,Male,Male-Light,Peak Spike,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2601,230.36,379,2,Female,Female-Mid,Tiara,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2602,129.2,2565,2,Female,Female-Dark,Red Mohawk,NONE,NONE,NONE,NONE,Vape,NONE,NONE,NONE
2603,58.71,9795,2,Male,Male-Mid,Stringy Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2604,79.04,7777,2,Male,Male-Light,Stringy Hair,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
2605,195.74,641,2,Female,Female-Mid,Orange Side,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2606,60.02,9715,2,Male,Male-Light,Headband,NONE,NONE,Mole,NONE,NONE,NONE,NONE,NONE
2607,97.64,5637,3,Male,Male-Mid,Headband,Big Shades,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
2608,222.55,435,4,Female,Female-Albino,Half Shaved,Classic Shades,NONE,Spots,NONE,NONE,Hot Lipstick,NONE,NONE
2609,104.72,4919,3,Male,Male-Albino,Knitted Cap,Regular Shades,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
2610,87.33,6806,3,Female,Female-Light,Crazy Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
2611,124.72,2922,3,Male,Male-Dark,Mohawk Thin,NONE,Front Beard,NONE,NONE,NONE,NONE,Clown Nose,NONE
2612,90.45,6522,2,Male,Male-Light,Peak Spike,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
2613,259.57,263,3,Female,Female-Dark,Pigtails,Welding Goggles,NONE,Mole,NONE,NONE,NONE,NONE,NONE
2614,126.98,2729,3,Male,Male-Dark,Police Cap,Clown Eyes Blue,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
2615,79.1,7764,3,Male,Male-Albino,Cap,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2616,92.76,6230,2,Male,Male-Mid,Hoodie,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2617,95.94,5836,3,Female,Female-Light,Mohawk Thin,NONE,NONE,NONE,NONE,Vape,Hot Lipstick,NONE,NONE
2618,130.61,2438,3,Female,Female-Dark,Half Shaved,Clown Eyes Green,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2619,167.26,1016,5,Male,Male-Light,Knitted Cap,Horned Rim Glasses,Front Beard Dark,NONE,NONE,Cigarette,NONE,NONE,Earring
2620,107.87,4519,3,Male,Male-Light,Wild Hair,3D Glasses,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
2621,175.07,868,2,Female,Female-Light,Orange Side,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2622,139.6,1943,3,Female,Female-Light,Messy Hair,Blue Eye Shadow,NONE,NONE,Gold Chain,NONE,NONE,NONE,NONE
2623,136.19,2136,4,Female,Female-Dark,Wild White Hair,Big Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
2624,110.15,4227,3,Female,Female-Light,Wild White Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
2625,104.98,4889,3,Male,Male-Albino,Messy Hair,Regular Shades,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
2626,143.56,1720,2,Female,Female-Light,Pink With Hat,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
2627,77.42,8059,2,Female,Female-Mid,Bandana,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2628,77.11,8112,3,Female,Female-Light,Frumpy Hair,Nerd Glasses,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
2629,64.75,9223,3,Female,Female-Mid,Mohawk,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
2630,60.02,9716,2,Male,Male-Mid,Frumpy Hair,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2631,149.27,1478,3,Male,Male-Dark,Police Cap,Horned Rim Glasses,NONE,NONE,Silver Chain,NONE,NONE,NONE,NONE
2632,113.99,3877,4,Male,Male-Albino,Mohawk Dark,NONE,NONE,Mole,NONE,NONE,Frown,NONE,Earring
2633,76.43,8237,2,Male,Male-Dark,Hoodie,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2634,107.22,4606,2,Female,Female-Light,Red Mohawk,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2635,77.2,8095,2,Male,Male-Dark,Frumpy Hair,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
2636,94.97,5962,2,Male,Male-Light,Do-rag,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2637,115.06,3805,2,Male,Male-Dark,Purple Hair,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
2638,70.33,8863,2,Female,Female-Albino,Bandana,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
2639,201.35,605,5,Male,Male-Mid,Bandana,Classic Shades,Shadow Beard,NONE,NONE,Pipe,Frown,NONE,NONE
2640,85.27,7031,3,Male,Male-Albino,Shaved Head,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
2641,124.33,2968,3,Male,Male-Dark,Cowboy Hat,Small Shades,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
2642,102.22,5192,4,Male,Male-Dark,Frumpy Hair,Big Shades,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
2643,157.08,1253,3,Female,Female-Mid,Pigtails,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2644,120.21,3369,3,Male,Male-Light,Mohawk,NONE,Handlebars,NONE,NONE,NONE,Smile,NONE,NONE
2645,142.74,1762,3,Female,Female-Albino,Wild White Hair,Regular Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
2646,199.33,619,1,Female,Female-Mid,Orange Side,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2647,75.06,8431,2,Male,Male-Mid,Frumpy Hair,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
2648,96.99,5704,3,Male,Male-Dark,Messy Hair,NONE,Shadow Beard,NONE,NONE,NONE,Frown,NONE,NONE
2649,129.41,2541,2,Female,Female-Dark,Wild Blonde,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2650,166.5,1026,4,Male,Male-Dark,Cap,Big Shades,Mustache,NONE,Silver Chain,NONE,NONE,NONE,NONE
2651,91.3,6414,3,Female,Female-Albino,Messy Hair,Nerd Glasses,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
2652,72.71,8647,3,Female,Female-Mid,Bandana,NONE,NONE,Mole,NONE,NONE,Hot Lipstick,NONE,NONE
2653,125.24,2871,4,Male,Male-Albino,Do-rag,Horned Rim Glasses,Handlebars,NONE,NONE,NONE,NONE,NONE,Earring
2654,126.21,2788,3,Female,Female-Albino,Straight Hair Dark,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2655,133.79,2261,3,Male,Male-Mid,Shaved Head,NONE,Chinstrap,NONE,NONE,NONE,NONE,Clown Nose,NONE
2656,125.74,2827,1,Male,Male-Dark,NONE,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
2657,265.74,239,5,Male,Male-Light,Fedora,Regular Shades,NONE,NONE,NONE,Pipe,Smile,Clown Nose,NONE
2658,141.36,1841,3,Female,Female-Light,Red Mohawk,Purple Eye Shadow,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
2659,103.67,5026,4,Female,Female-Mid,Stringy Hair,Purple Eye Shadow,NONE,Mole,NONE,NONE,NONE,NONE,Earring
2660,118.69,3473,2,Female,Female-Dark,Straight Hair Blonde,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2661,61.71,9556,3,Male,Male-Mid,Crazy Hair,NONE,NONE,Mole,NONE,NONE,NONE,NONE,Earring
2662,96.68,5741,3,Male,Male-Dark,Mohawk Dark,Eye Patch,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
2663,59.91,9724,2,Male,Male-Dark,Wild Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2664,146.49,1587,3,Female,Female-Light,Wild White Hair,Green Eye Shadow,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2665,101.14,5288,2,Male,Male-Dark,Purple Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2666,66.09,9130,2,Male,Male-Dark,Bandana,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2667,66.28,9120,3,Male,Male-Albino,Frumpy Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
2668,79.66,7678,3,Male,Male-Light,Frumpy Hair,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
2669,88.21,6729,2,Male,Male-Light,Shaved Head,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,NONE
2670,62.08,9514,3,Male,Male-Light,Stringy Hair,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
2671,69.51,8919,2,Male,Male-Mid,Headband,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2672,157.41,1242,4,Male,Male-Dark,Purple Hair,NONE,Muttonchops,NONE,NONE,NONE,Frown,NONE,Earring
2673,125.76,2825,4,Male,Male-Light,Frumpy Hair,Horned Rim Glasses,Muttonchops,NONE,NONE,Pipe,NONE,NONE,NONE
2674,80.57,7580,2,Male,Male-Mid,Mohawk Thin,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
2675,95.25,5926,3,Female,Female-Light,Stringy Hair,Blue Eye Shadow,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2676,234.65,359,1,Female,Female-Dark,Tiara,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2677,59.68,9744,2,Male,Male-Dark,Knitted Cap,NONE,NONE,Mole,NONE,NONE,NONE,NONE,NONE
2678,203.1,587,3,Male,Male-Dark,Wild Hair,NONE,Normal Beard Black,NONE,NONE,NONE,Buck Teeth,NONE,NONE
2679,86.66,6872,2,Male,Male-Mid,Shaved Head,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
2680,392.55,59,4,Female,Female-Light,Pink With Hat,Purple Eye Shadow,NONE,NONE,Choker,NONE,Black Lipstick,NONE,NONE
2681,293.19,156,2,Zombie,Zombie,Cap,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2682,116.85,3636,2,Female,Female-Mid,Tassle Hat,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2683,90.9,6463,2,Male,Male-Mid,Peak Spike,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
2684,120.88,3313,2,Male,Male-Dark,Vampire Hair,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
2685,114.63,3841,2,Male,Male-Light,Purple Hair,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
2686,116.57,3666,2,Female,Female-Mid,Blonde Bob,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2687,109.74,4276,4,Male,Male-Light,Bandana,Big Shades,Mustache,Mole,NONE,NONE,NONE,NONE,NONE
2688,145.53,1632,4,Male,Male-Dark,Vampire Hair,Regular Shades,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
2689,97.41,5662,2,Male,Male-Light,NONE,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
2690,165.93,1044,2,Female,Female-Dark,Pink With Hat,Blue Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2691,102.82,5124,3,Male,Male-Dark,Knitted Cap,NONE,Shadow Beard,NONE,NONE,NONE,Smile,NONE,NONE
2692,115.06,3806,4,Female,Female-Mid,Wild Hair,Eye Patch,NONE,NONE,NONE,Pipe,Purple Lipstick,NONE,NONE
2693,84.26,7164,2,Male,Male-Light,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2694,82.84,7328,3,Male,Male-Dark,Wild Hair,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,Earring
2695,110.69,4163,3,Male,Male-Mid,Do-rag,Small Shades,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
2696,78.06,7950,3,Female,Female-Dark,Mohawk,Regular Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
2697,144.48,1678,3,Female,Female-Albino,Straight Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
